Register	Address	Value1	Value2
PH10.AMP16L	02A7	95	6A
PH10.AMP16U*	02A8	08	37
PH10.AMP17L	02A9	96	69
PH10.AMP17U*	02AA	09	36
PH10.AMP18L	02AB	97	68
PH10.AMP18U*	02AC	0A	35
PH10.AMP19L	02AD	98	67
PH10.AMP19U*	02AE	0B	34
PH10.AMP20L	02AF	99	66
PH10.AMP20U*	02B0	0C	33
PH10.AMP21L	02B1	9A	65
PH10.AMP21U*	02B2	0D	32
PH10.AMP22L	02B3	9B	64
PH10.AMP22U*	02B4	0E	31
PH10.AMP23L	02B5	9C	63
PH10.AMP23U*	02B6	0F	30
PH10.AMP24L	02B7	9D	62
PH10.AMP24U*	02B8	10	2F
PH10.AMP25L	02B9	9E	61
PH10.AMP25U*	02BA	11	2E
PH10.AMP26L	02BB	9F	60
PH10.AMP26U*	02BC	12	2D
PH10.PG_TIMEOUT	02BD	A0	5F
---	02BE	---	---
---	02BF	---	---
PH11.CTL1*	02C0	A1	56
PH11.CTL2*	02C1	13	2C
PH11.STPA	02C2	A2	5D
PH11.STPB	02C3	A3	5C
PH11.STPC	02C4	A4	5B
PH11.OFST	02C5	A5	5A
PH11.DLYL	02C6	A6	59
PH11.DLYU	02C7	A7	58
PH11.CDIV	02C8	A8	57
PH11.AMP1L	02C9	A9	56
PH11.AMP1U*	02CA	14	2B
PH11.AMP2L	02CB	AA	55
PH11.AMP2U*	02CC	15	2A
PH11.AMP3L	02CD	AB	54
PH11.AMP3U*	02CE	16	29
PH11.AMP4L	02CF	AC	53
PH11.AMP4U*	02D0	17	28
PH11.AMP5L	02D1	AD	52
PH11.AMP5U*	02D2	18	27
PH11.AMP6L	02D3	AE	51
PH11.AMP6U*	02D4	19	26
PH11.AMP7L	02D5	AF	50
PH11.AMP7U*	02D6	1A	25
PH11.AMP8L	02D7	B0	4F
PH11.AMP8U*	02D8	1B	24
PH11.AMP9L	02D9	B1	4E
PH11.AMP9U*	02DA	1C	23
PH11.AMP10L	02DB	B2	4D
PH11.AMP10U*	02DC	1D	22
PH11.AMP11L	02DD	B3	4C
PH11.AMP11U*	02DE	1E	21
PH11.AMP12L	02DF	B4	4B
PH11.AMP12U*	02E0	1F	20
PH11.AMP13L	02E1	B5	4A
PH11.AMP13U*	02E2	20	1F
PH11.AMP14L	02E3	B6	49
PH11.AMP14U*	02E4	21	1E
PH11.AMP15L	02E5	B7	48
PH11.AMP15U*	02E6	22	1D
PH11.AMP16L	02E7	B8	47
PH11.AMP16U*	02E8	23	1C
PH11.AMP17L	02E9	B9	46
PH11.AMP17U*	02EA	24	1B
PH11.AMP18L	02EB	BA	45
PH11.AMP18U*	02EC	25	1A
PH11.AMP19L	02ED	BB	44
PH11.AMP19U*	02EE	26	19
PH11.AMP20L	02EF	BC	43
PH11.AMP20U*	02F0	27	18
PH11.AMP21L	02F1	BD	42
PH11.AMP21U*	02F2	28	17
PH11.AMP22L	02F3	BE	41
